"Indicador";"Periodo";"Valor";"Categoría 1";"Categoría 1-Valor";"Categoría 2";"Categoría 2-Valor";"Categoría 3";"Categoría 3-Valor"
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2015";"58.5";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2015";"78.5";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2015";"60.2";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2015";"49.6";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2014";"58.8";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2014";"65.7";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2014";"56.4";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2014";"50.6";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2014";"52.3";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2014";"62.9";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2014";"85.9";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2014";"63.7";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2014";"53.6";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2013";"64.1";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2013";"71.9";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2013";"61.2";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2013";"55.2";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2013";"57.8";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2013";"70";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2013";"97.3";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2013";"67.8";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2013";"59.6";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2012";"66.8";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2012";"69.3";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2012";"65.8";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2012";"61.9";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2012";"59.7";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2012";"72.4";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2012";"100.6";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2012";"74.3";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2012";"59.5";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2011";"70.6";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2011";"75.2";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2011";"71.4";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2011";"58.6";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2011";"62.9";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2011";"75.3";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2011";"103.8";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2011";"78.5";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2011";"63.4";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2010";"64.4";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2010";"72.6";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2010";"64.8";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2010";"48.3";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2010";"55.9";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2010";"65.3";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2010";"84.6";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2010";"69.6";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Coste de acceso a la vivienda libre en propiedad, según sexo, grupos de edad y TTHH";"2010";"58.6";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2025";"5.2";"Sexo";"Total";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2025";"4.7";"Sexo";"Mujeres";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2025";"5.8";"Sexo";"Hombres";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2024";"5.2";"Sexo";"Total";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2024";"4.7";"Sexo";"Mujeres";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2024";"5.7";"Sexo";"Hombres";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2022";"5.3";"Sexo";"Total";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2022";"4.5";"Sexo";"Mujeres";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2022";"6.3";"Sexo";"Hombres";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2020";"5.4";"Sexo";"Total";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2020";"4.7";"Sexo";"Mujeres";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2020";"6.1";"Sexo";"Hombres";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2017";"6.5";"Sexo";"Total";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2017";"5.9";"Sexo";"Mujeres";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2017";"7.1";"Sexo";"Hombres";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2015";"6";"Sexo";"Total";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2015";"5.3";"Sexo";"Mujeres";"";"";"";""
"Diferencia entre la edad real y la edad ideal de emancipación, según sexo";"2015";"6.8";"Sexo";"Hombres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2024";"350";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2024";"388";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2024";"339";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2024";"301";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2024";"287";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2024";"360";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2024";"465";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2024";"388";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2024";"334";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2023";"315";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2023";"352";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2023";"302";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2023";"282";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2023";"249";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2023";"324";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2023";"431";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2023";"353";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2023";"300";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2022";"297";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2022";"327";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2022";"286";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2022";"261";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2022";"244";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2022";"306";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2022";"407";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2022";"330";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2022";"287";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2021";"293";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2021";"323";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2021";"283";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2021";"248";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2021";"257";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2021";"306";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2021";"420";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2021";"327";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2021";"282";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2020";"303";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2020";"327";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2020";"298";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2020";"250";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2020";"270";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2020";"318";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2020";"414";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2020";"322";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2020";"277";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2019";"288";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2019";"310";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2019";"287";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2019";"237";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2019";"249";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2019";"303";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2019";"400";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2019";"326";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2019";"271";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2018";"267";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2018";"287";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2018";"268";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2018";"208";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2018";"237";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2018";"291";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2018";"391";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2018";"306";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2018";"241";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2017";"248";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2017";"270";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2017";"257";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2017";"168";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2017";"221";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2017";"283";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2017";"371";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2017";"283";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2017";"217";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2016";"225";"Sexo, grupos de edad y territorios históricos";"Total";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2016";"245";"Sexo, grupos de edad y territorios históricos";"Gipuzkoa";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2016";"236";"Sexo, grupos de edad y territorios históricos";"Bizkaia";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2016";"141";"Sexo, grupos de edad y territorios históricos";"Álava";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2016";"197";"Sexo, grupos de edad y territorios históricos";"30-34 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2016";"262";"Sexo, grupos de edad y territorios históricos";"25-29 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2016";"356";"Sexo, grupos de edad y territorios históricos";"18-24 años";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2016";"266";"Sexo, grupos de edad y territorios históricos";"Mujeres";"";"";"";""
"Diferencia entre la renta de mercado y la renta máxima tolerable de alquiler, según sexo, grupos de edad y TTHH";"2016";"195";"Sexo, grupos de edad y territorios históricos";"Hombres";"";"";"";""
"Edad media de emancipación, según sexo";"2025";"30.1";"Sexo";"Total";"";"";"";""
"Edad media de emancipación, según sexo";"2025";"29.4";"Sexo";"Mujeres";"";"";"";""
"Edad media de emancipación, según sexo";"2025";"30.8";"Sexo";"Hombres";"";"";"";""
"Edad media de emancipación, según sexo";"2024";"29.8";"Sexo";"Total";"";"";"";""
"Edad media de emancipación, según sexo";"2024";"29.2";"Sexo";"Mujeres";"";"";"";""
"Edad media de emancipación, según sexo";"2024";"30.4";"Sexo";"Hombres";"";"";"";""
"Edad media de emancipación, según sexo";"2023";"29.8";"Sexo";"Total";"";"";"";""
"Edad media de emancipación, según sexo";"2023";"29";"Sexo";"Mujeres";"";"";"";""
"Edad media de emancipación, según sexo";"2023";"30.6";"Sexo";"Hombres";"";"";"";""
"Edad media de emancipación, según sexo";"2022";"29.7";"Sexo";"Total";"";"";"";""
"Edad media de emancipación, según sexo";"2022";"28.4";"Sexo";"Mujeres";"";"";"";""
"Edad media de emancipación, según sexo";"2022";"31";"Sexo";"Hombres";"";"";"";""
"Edad media de emancipación, según sexo";"2021";"30.1";"Sexo";"Total";"";"";"";""
"Edad media de emancipación, según sexo";"2021";"29";"Sexo";"Mujeres";"";"";"";""
"Edad media de emancipación, según sexo";"2021";"31.1";"Sexo";"Hombres";"";"";"";""
"Edad media de emancipación, según sexo";"2020";"29.9";"Sexo";"Total";"";"";"";""
"Edad media de emancipación, según sexo";"2020";"29";"Sexo";"Mujeres";"";"";"";""
"Edad media de emancipación, según sexo";"2020";"30.7";"Sexo";"Hombres";"";"";"";""
"Edad media de emancipación, según sexo";"2019";"29.9";"Sexo";"Total";"";"";"";""
"Edad media de emancipación, según sexo";"2019";"29.1";"Sexo";"Mujeres";"";"";"";""
"Edad media de emancipación, según sexo";"2019";"30.7";"Sexo";"Hombres";"";"";"";""
"Edad media de emancipación, según sexo";"2018";"30.1";"Sexo";"Total";"";"";"";""
"Edad media de emancipación, según sexo";"2018";"29.4";"Sexo";"Mujeres";"";"";"";""
"Edad media de emancipación, según sexo";"2018";"30.8";"Sexo";"Hombres";"";"";"";""
"Edad media de emancipación, según sexo";"2017";"30.1";"Sexo";"Total";"";"";"";""
"Edad media de emancipación, según sexo";"2017";"29.3";"Sexo";"Mujeres";"";"";"";""
"Edad media de emancipación, según sexo";"2017";"30.9";"Sexo";"Hombres";"";"";"";""
"Edad media de emancipación, según sexo";"2016";"30.4";"Sexo";"Total";"";"";"";""
"Edad media de emancipación, según sexo";"2016";"29.3";"Sexo";"Mujeres";"";"";"";""
"Edad media de emancipación, según sexo";"2016";"31.4";"Sexo";"Hombres";"";"";"";""
"Edad media de emancipación, según sexo";"2015";"30.2";"Sexo";"Total";"";"";"";""
"Edad media de emancipación, según sexo";"2015";"29.3";"Sexo";"Mujeres";"";"";"";""
